case_id,media_id,file_path,file_name,file_hash_sha256,image_width,image_height,thread_id,anchor_event_id,anchor_timestamp_utc,ocr_ran,embedded_text_flag,ocr_text,ocr_mean_confidence,ocr_character_count,ocr_text_coverage,assoc_check_ran,associated_text_flag,assoc_message_count,assoc_window_before_s,assoc_window_after_s,assoc_text_concat,assoc_messages_json,has_any_text_context,analysis_mode,last_updated_utc,case_label,case_reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE-2025-001,test_violence,Case_1_data\test_violence.webp,test_violence.webp,8a87e8e3c732c39582003f0c4dd59a491fef3e91d139881087311c3679c8d1b4,800.0,534.0,,,,True,False,,,0.0,0.0,,,,,,,,False,image_only,2025-12-15T14:06:20.207136Z,,
CASE-2025-001,weapon_2,Case_1_data\weapon_2.webp,weapon_2.webp,1a4306b99991fbc27d609c45dfd8615ab7aa3fc54c8e97ca736fbf666ec54995,1068.0,801.0,SMS_THREAD_0007,EVT_000019,2025-01-12T14:06:44Z,True,False,se Fy ie,22.66666667,6.0,0.039125952,True,True,8.0,120.0,120.0,I can't believe this. This is disgusting. Look at this. We should deal with them. Check this out. That's unacceptable. That's unacceptable. Check this out.,"[{""event_id"": ""EVT_000014"", ""utc_timestamp"": ""2025-01-12T14:04:51Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""I can't believe this.""}, {""event_id"": ""EVT_000015"", ""utc_timestamp"": ""2025-01-12T14:05:21Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""This is disgusting.""}, {""event_id"": ""EVT_000016"", ""utc_timestamp"": ""2025-01-12T14:06:00Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""Look at this.""}, {""event_id"": ""EVT_000017"", ""utc_timestamp"": ""2025-01-12T14:06:10Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""We should deal with them.""}, {""event_id"": ""EVT_000018"", ""utc_timestamp"": ""2025-01-12T14:06:39Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""Check this out.""}, {""event_id"": ""EVT_000020"", ""utc_timestamp"": ""2025-01-12T14:06:59Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""That's unacceptable.""}, {""event_id"": ""EVT_000022"", ""utc_timestamp"": ""2025-01-12T14:07:42Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""That's unacceptable.""}, {""event_id"": ""EVT_000023"", ""utc_timestamp"": ""2025-01-12T14:08:09Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""Check this out.""}]",True,multimodal,2025-12-16T03:25:42.107162Z,not_case_3,Text context exists (embedded OCR or associated SMS). Not eligible for image-only case.
CASE-2025-001,hate_4,Case_1_data\hate_4.jpg,hate_4.jpg,78bbf01e6215f34a1642df6c9649de8966c8e7d0ecb03beef7450fd0c4aced27,1024.0,683.0,SMS_THREAD_0007,EVT_000021,2025-01-12T14:07:07Z,True,False,"ae Wes. Sec ne fe, \q lets Pay oe oy eis viiv@ mT. Geek Fi he Z.",23.70588235,48.0,0.155259139,True,True,8.0,120.0,120.0,This is disgusting. Look at this. We should deal with them. Check this out. That's unacceptable. That's unacceptable. Check this out. I can't believe this.,"[{""event_id"": ""EVT_000015"", ""utc_timestamp"": ""2025-01-12T14:05:21Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""This is disgusting.""}, {""event_id"": ""EVT_000016"", ""utc_timestamp"": ""2025-01-12T14:06:00Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""Look at this.""}, {""event_id"": ""EVT_000017"", ""utc_timestamp"": ""2025-01-12T14:06:10Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""We should deal with them.""}, {""event_id"": ""EVT_000018"", ""utc_timestamp"": ""2025-01-12T14:06:39Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""Check this out.""}, {""event_id"": ""EVT_000020"", ""utc_timestamp"": ""2025-01-12T14:06:59Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""That's unacceptable.""}, {""event_id"": ""EVT_000022"", ""utc_timestamp"": ""2025-01-12T14:07:42Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""That's unacceptable.""}, {""event_id"": ""EVT_000023"", ""utc_timestamp"": ""2025-01-12T14:08:09Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""Check this out.""}, {""event_id"": ""EVT_000024"", ""utc_timestamp"": ""2025-01-12T14:08:47Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""I can't believe this.""}]",True,multimodal,2025-12-15T14:48:00.132442Z,not_case_3,Text context exists (embedded OCR or associated SMS). Not eligible for image-only case.
CASE-2025-001,IMG_0346,Case_1_data\IMG_0346.jpg,IMG_0346.jpg,7f19e460d748aaf73aab21043a4ee34b23da376d291b41f16c6413fc1d42a6fc,1080.0,1080.0,SMS_THREAD_0007,EVT_000007,2025-01-12T14:02:03Z,True,True,These people do not belong We should deal with them,95.7,42.0,0.076918724,True,True,7.0,120.0,120.0,This is what I was talking about. This is what I was talking about. This is what I was talking about. This is what I was talking about. This is what I was talking about. This is what I was talking about. I can't believe this.,"[{""event_id"": ""EVT_000002"", ""utc_timestamp"": ""2025-01-12T14:00:37Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""This is what I was talking about.""}, {""event_id"": ""EVT_000003"", ""utc_timestamp"": ""2025-01-12T14:00:42Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""This is what I was talking about.""}, {""event_id"": ""EVT_000004"", ""utc_timestamp"": ""2025-01-12T14:00:50Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""This is what I was talking about.""}, {""event_id"": ""EVT_000005"", ""utc_timestamp"": ""2025-01-12T14:01:18Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""This is what I was talking about.""}, {""event_id"": ""EVT_000006"", ""utc_timestamp"": ""2025-01-12T14:01:29Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""This is what I was talking about.""}, {""event_id"": ""EVT_000010"", ""utc_timestamp"": ""2025-01-12T14:03:17Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""This is what I was talking about.""}, {""event_id"": ""EVT_000012"", ""utc_timestamp"": ""2025-01-12T14:03:59Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""I can't believe this.""}]",True,multimodal,2025-12-15T14:51:30.365398Z,not_case_3,Text context exists (embedded OCR or associated SMS). Not eligible for image-only case.
CASE-2025-001,Vio_48,Case_1_data\Vio_48.jpg,Vio_48.jpg,8fa7d5c3b7c0a56b526baf166d36bea17c2b8796f3796a063551ce63ecc9b699,612.0,603.0,,,,True,False,Ca,23.0,2.0,0.298008866,True,False,0.0,120.0,120.0,,[],False,image_only,2025-12-15T14:59:34.325961Z,case_3_image_only,No usable embedded OCR text and no associated SMS text. Route to image-only analysis.
CASE-2025-001,Vio_13,Case_1_data\Vio_13.jpg,Vio_13.jpg,3766e8a8c78877a4b065789e15c8d82a1098d9c97abac623b9875c60c69042b0,612.0,454.0,,,,True,False,I; nh,47.0,4.0,0.004038179,True,False,0.0,120.0,120.0,,[],False,image_only,2025-12-15T15:00:16.208505Z,case_3_image_only,No usable embedded OCR text and no associated SMS text. Route to image-only analysis.
CASE-2025-001,Vio_40,Case_1_data\Vio_40.jpg,Vio_40.jpg,9b57b9141b6e80183e433d9fb6aa2504e32cfbd91c16e3f65c1ec765e8de859e,459.0,612.0,,,,True,False,om ne Oo,26.33333333,6.0,0.206718926,True,False,0.0,120.0,120.0,,[],False,image_only,2025-12-16T04:15:23.049439Z,case_3_image_only,No usable embedded OCR text and no associated SMS text. Route to image-only analysis.
CASE-2025-001,Vio_42,Case_1_data\Vio_42.jpg,Vio_42.jpg,4dd428bf5229d8507f0280dbd6fd2cc7686ab884a3cd8e03c7a5057020172723,612.0,402.0,,,,True,False,,,0.0,0.0,True,False,0.0,120.0,120.0,,[],False,image_only,2025-12-16T04:15:36.589604Z,case_3_image_only,No usable embedded OCR text and no associated SMS text. Route to image-only analysis.
CASE-2025-001,Vio_21,Case_1_data\Vio_21.jpg,Vio_21.jpg,8a1b41588a38d92ad7d15481938fc67845b45fbb7929d5b4db10fc8e38b67590,1280.0,960.0,,,,True,False,"peal aaa ee es Se et S.hlhm!hUmUmhmUmU ee es ie ‘ioe ee as ee Sha ae Pehiula iar “ae, ri es TO er ee Gree Fol eh im Ee alla ae ae hs ae pe Plier Sn HA ae ie ve. eS as on oe Lt ae we ee ee ee ee ae oo. oe Pl ee ae. ee Oe ee ao ean OTe oe ete GER He igo eee ee es es Os we G2. eee con See re ee xe 2S 4S Se ieee SSS re Sat is ey ss wae bs Rey Se DNs. ae ae: te” endl ie “a mm",24.57692308,270.0,0.351228027,True,False,0.0,120.0,120.0,,[],False,image_only,2025-12-16T04:15:48.514572Z,case_3_image_only,No usable embedded OCR text and no associated SMS text. Route to image-only analysis.
