event_id,event_type,media_id,thread_id,utc_timestamp,sender_id,message_text
EVT_000001,text,,SMS_THREAD_0007,2025-01-12T14:00:00Z,+1775XXXX001,This is disgusting.
EVT_000002,text,,SMS_THREAD_0007,2025-01-12T14:00:37Z,+1775XXXX002,We should deal with them.
EVT_000003,text,,SMS_THREAD_0007,2025-01-12T14:00:42Z,+1775XXXX001,This is what I was talking about.
EVT_000004,text,,SMS_THREAD_0007,2025-01-12T14:00:50Z,+1775XXXX003,Check this out.
EVT_000005,text,,SMS_THREAD_0007,2025-01-12T14:01:18Z,+1775XXXX003,I can't believe this.
EVT_000021,image,hate_4,SMS_THREAD_0007,2025-01-12T14:07:07Z,+1775XXXX001,Look at this.
EVT_000007,image,IMG_0346,SMS_THREAD_0007,2025-01-12T14:02:03Z,+1775XXXX003,This is a threat.
EVT_000008,image,IMG_2099,SMS_THREAD_0007,2025-01-12T14:02:35Z,+1775XXXX002,That's unacceptable.
EVT_000019,image,weapon_2,SMS_THREAD_0007,2025-01-12T14:06:44Z,+1775XXXX001,Check this out.
EVT_000010,text,,SMS_THREAD_0007,2025-01-12T14:03:17Z,+1775XXXX002,This is what I was talking about.
EVT_000011,image,IMG_1120,SMS_THREAD_0007,2025-01-12T14:03:40Z,+1775XXXX003,This is what I was talking about.
EVT_000012,text,,SMS_THREAD_0007,2025-01-12T14:03:59Z,+1775XXXX001,I can't believe this.
EVT_000013,image,IMG_0346,SMS_THREAD_0007,2025-01-12T14:04:21Z,+1775XXXX003,I can't believe this.
EVT_000014,text,,SMS_THREAD_0007,2025-01-12T14:04:51Z,+1775XXXX001,I can't believe this.
EVT_000015,text,,SMS_THREAD_0007,2025-01-12T14:05:21Z,+1775XXXX001,This is disgusting.
EVT_000016,text,,SMS_THREAD_0007,2025-01-12T14:06:00Z,+1775XXXX003,Look at this.
EVT_000017,text,hate_4,SMS_THREAD_0007,2025-01-12T14:06:10Z,+1775XXXX002,We should deal with them.
EVT_000018,text,weapon_2,SMS_THREAD_0007,2025-01-12T14:06:39Z,+1775XXXX002,Check this out.
EVT_000019,image,weapon_2,SMS_THREAD_0007,2025-01-12T14:06:44Z,+1775XXXX001,Check this out.
EVT_000020,text,,SMS_THREAD_0007,2025-01-12T14:06:59Z,+1775XXXX001,That's unacceptable.
,,,,,,
EVT_000022,text,,SMS_THREAD_0007,2025-01-12T14:07:42Z,+1775XXXX003,That's unacceptable.
EVT_000023,text,,SMS_THREAD_0007,2025-01-12T14:08:09Z,+1775XXXX003,Check this out.
EVT_000024,text,,SMS_THREAD_0007,2025-01-12T14:08:47Z,+1775XXXX002,I can't believe this.
EVT_000025,text,,SMS_THREAD_0007,2025-01-12T14:09:10Z,+1775XXXX001,This is disgusting.
EVT_000026,text,,SMS_THREAD_0007,2025-01-12T14:09:19Z,+1775XXXX003,I can't believe this.
EVT_000027,text,,SMS_THREAD_0007,2025-01-12T14:09:41Z,+1775XXXX002,Look at this.
EVT_000028,image,IMG_0781,SMS_THREAD_0007,2025-01-12T14:10:21Z,+1775XXXX001,Look at this.
EVT_000029,text,,SMS_THREAD_0007,2025-01-12T14:11:01Z,+1775XXXX002,Check this out.
EVT_000030,text,,SMS_THREAD_0007,2025-01-12T14:11:23Z,+1775XXXX003,We should deal with them.
EVT_000031,text,,SMS_THREAD_0007,2025-01-12T14:11:48Z,+1775XXXX002,This is a threat.
EVT_000032,text,,SMS_THREAD_0007,2025-01-12T14:12:05Z,+1775XXXX001,This is what I was talking about.
EVT_000033,text,,SMS_THREAD_0007,2025-01-12T14:12:36Z,+1775XXXX002,We should deal with them.
EVT_000034,image,IMG_1120,SMS_THREAD_0007,2025-01-12T14:13:02Z,+1775XXXX001,Look at this.
EVT_000035,text,,SMS_THREAD_0007,2025-01-12T14:13:29Z,+1775XXXX002,Check this out.
EVT_000036,image,IMG_0346,SMS_THREAD_0007,2025-01-12T14:14:08Z,+1775XXXX001,Look at this.
EVT_000037,text,,SMS_THREAD_0007,2025-01-12T14:14:23Z,+1775XXXX002,This is disgusting.
EVT_000038,text,,SMS_THREAD_0007,2025-01-12T14:14:49Z,+1775XXXX002,That's unacceptable.
EVT_000039,image,IMG_0781,SMS_THREAD_0007,2025-01-12T14:15:05Z,+1775XXXX003,Look at this.
EVT_000040,text,,SMS_THREAD_0007,2025-01-12T14:15:16Z,+1775XXXX002,This is disgusting.
EVT_000041,text,,SMS_THREAD_0012,2025-01-12T14:00:00Z,+1775XXXX002,Look at this.
EVT_000042,text,,SMS_THREAD_0012,2025-01-12T14:00:29Z,+1775XXXX001,This is what I was talking about.
EVT_000043,text,,SMS_THREAD_0012,2025-01-12T14:00:49Z,+1775XXXX002,We should deal with them.
EVT_000044,text,,SMS_THREAD_0012,2025-01-12T14:01:26Z,+1775XXXX003,This is disgusting.
EVT_000045,image,IMG_0781,SMS_THREAD_0012,2025-01-12T14:01:33Z,+1775XXXX003,Look at this.
EVT_000046,text,,SMS_THREAD_0012,2025-01-12T14:02:04Z,+1775XXXX003,Look at this.
EVT_000047,text,,SMS_THREAD_0012,2025-01-12T14:02:11Z,+1775XXXX002,I can't believe this.
EVT_000048,text,,SMS_THREAD_0012,2025-01-12T14:02:28Z,+1775XXXX001,I can't believe this.
EVT_000049,text,,SMS_THREAD_0012,2025-01-12T14:02:45Z,+1775XXXX001,This is disgusting.
EVT_000050,text,,SMS_THREAD_0012,2025-01-12T14:03:01Z,+1775XXXX003,Look at this.
EVT_000051,text,,SMS_THREAD_0012,2025-01-12T14:03:10Z,+1775XXXX001,Look at this.
EVT_000052,text,,SMS_THREAD_0012,2025-01-12T14:03:18Z,+1775XXXX002,Look at this.
EVT_000053,text,,SMS_THREAD_0012,2025-01-12T14:03:52Z,+1775XXXX001,This is a threat.
EVT_000054,text,,SMS_THREAD_0012,2025-01-12T14:04:25Z,+1775XXXX003,This is disgusting.
EVT_000055,text,,SMS_THREAD_0012,2025-01-12T14:04:46Z,+1775XXXX003,Check this out.
EVT_000056,image,IMG_2099,SMS_THREAD_0012,2025-01-12T14:05:14Z,+1775XXXX003,Look at this.
EVT_000057,image,IMG_2099,SMS_THREAD_0012,2025-01-12T14:05:49Z,+1775XXXX003,Look at this.
EVT_000058,text,,SMS_THREAD_0012,2025-01-12T14:05:54Z,+1775XXXX002,This is a threat.
EVT_000059,text,,SMS_THREAD_0012,2025-01-12T14:06:09Z,+1775XXXX003,This is disgusting.
