case_id,media_id,file_path,file_name,file_hash_sha256,image_width,image_height,thread_id,anchor_event_id,anchor_timestamp_utc,ocr_ran,embedded_text_flag,ocr_text,ocr_mean_confidence,ocr_character_count,ocr_text_coverage,assoc_check_ran,associated_text_flag,assoc_message_count,assoc_window_before_s,assoc_window_after_s,assoc_text_concat,assoc_messages_json,has_any_text_context,analysis_mode,last_updated_utc,case_label,case_reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE-2025-001,Vio_48,Case_1_data\Vio_48.jpg,Vio_48.jpg,8fa7d5c3b7c0a56b526baf166d36bea17c2b8796f3796a063551ce63ecc9b699,612.0,603.0,,,,True,False,Ca,23.0,2.0,0.298008866,True,False,0.0,120.0,120.0,,,False,image_only,2025-12-15T13:21:04.042316Z,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE-2025-001,test_violence,Case_1_data\test_violence.webp,test_violence.webp,8a87e8e3c732c39582003f0c4dd59a491fef3e91d139881087311c3679c8d1b4,800.0,534.0,,,,True,False,,,0.0,0.0,,,,,,,,False,image_only,2025-12-15T14:06:20.207136Z,,
CASE-2025-001,weapon_2,Case_1_data\weapon_2.webp,weapon_2.webp,1a4306b99991fbc27d609c45dfd8615ab7aa3fc54c8e97ca736fbf666ec54995,1068.0,801.0,SMS_THREAD_0007,EVT_000019,2025-01-12T14:06:44Z,True,False,se Fy ie,22.66666667,6.0,0.039125952,True,True,8.0,120.0,120.0,I can't believe this. This is disgusting. Look at this. We should deal with them. Check this out. That's unacceptable. That's unacceptable. Check this out.,"[{""event_id"": ""EVT_000014"", ""utc_timestamp"": ""2025-01-12T14:04:51Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""I can't believe this.""}, {""event_id"": ""EVT_000015"", ""utc_timestamp"": ""2025-01-12T14:05:21Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""This is disgusting.""}, {""event_id"": ""EVT_000016"", ""utc_timestamp"": ""2025-01-12T14:06:00Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""Look at this.""}, {""event_id"": ""EVT_000017"", ""utc_timestamp"": ""2025-01-12T14:06:10Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""We should deal with them.""}, {""event_id"": ""EVT_000018"", ""utc_timestamp"": ""2025-01-12T14:06:39Z"", ""sender_id"": ""+1775XXXX002"", ""message_text"": ""Check this out.""}, {""event_id"": ""EVT_000020"", ""utc_timestamp"": ""2025-01-12T14:06:59Z"", ""sender_id"": ""+1775XXXX001"", ""message_text"": ""That's unacceptable.""}, {""event_id"": ""EVT_000022"", ""utc_timestamp"": ""2025-01-12T14:07:42Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""That's unacceptable.""}, {""event_id"": ""EVT_000023"", ""utc_timestamp"": ""2025-01-12T14:08:09Z"", ""sender_id"": ""+1775XXXX003"", ""message_text"": ""Check this out.""}]",True,multimodal,2025-12-15T14:38:33.481927Z,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
